Mixture	Olig	InN	Micro	ExN	OPC	NPC	Endo	Astro	Perc	P-value	Correlation	RMSE
GTEX-11DXY-0011-R10b-SM-DO12C	0.06149241122528413	0.57937896620808049	0.01266645392923178	0.23661056893590723	0.02851048763681161	0.00000000000000000	0.01637990500449308	0.05613387138681061	0.00882733567338129	0.00000000000000000	0.83835558553055634	0.80175065347200847
GTEX-11DXY-0011-R5b-SM-DNZZL	0.10054685445435456	0.18797702969148258	0.02963360449802960	0.10416488239776320	0.31829222841872851	0.00000000000000000	0.02510474508916968	0.22037375554312003	0.01390689990735185	0.00000000000000000	0.88420147238294733	0.53990084614479517
GTEX-11DXY-0011-R6a-SM-DNZZF	0.07838084215798988	0.25427456669149967	0.03091082631195673	0.30186711477030242	0.08770285562717403	0.00000000000000000	0.02033540307875314	0.21340240507388511	0.01312598628843896	0.00000000000000000	0.80940694151973203	0.73430829193828084
GTEX-11DXY-0011-R7a-SM-DO11L	0.13189123784459358	0.15210935468858555	0.03049693055780035	0.00299693565294424	0.46894155770918389	0.00000000000000000	0.03180253864920295	0.16438576054953566	0.01737568434815383	0.00000000000000000	0.93970119924901774	0.36954375736981626
GTEX-11DXY-0011-R8a-SM-DO11M	0.17125706145926978	0.37285353219795747	0.03235374269375244	0.15216172430865815	0.18062251705324139	0.00000000000000000	0.02635260129943041	0.05688054182087535	0.00751827916681492	0.00000000000000000	0.68170682907861169	0.77118113962777524
GTEX-11DYG-0011-R10b-SM-DNZZO	0.10877374079328954	0.46791971127269860	0.00577055890743499	0.22073738169582235	0.10446580165650077	0.00000000000000000	0.01431036050455607	0.07099188350891550	0.00703056166078211	0.00000000000000000	0.71789034590497591	0.80064909547343344
GTEX-11DYG-0011-R5a-SM-DO928	0.10728475849346659	0.24652242425564602	0.01294038657860689	0.20630084664295981	0.23953227164882759	0.00000000000000000	0.00756214448701153	0.17308699955652118	0.00677016833696039	0.00000000000000000	0.81838652931873723	0.66112634949282589
GTEX-11DYG-0011-R6a-SM-DO936	0.19169158082526583	0.10930563309658907	0.03614438939240277	0.00000000000000000	0.49386702652875547	0.00000000000000000	0.02865761166425485	0.11650878056089944	0.02382497793183281	0.00000000000000000	0.74248956988437032	0.68062517978526238
GTEX-11DYG-0011-R7b-SM-EXUS6	0.14250731528659394	0.14398024506799653	0.02612348150571378	0.16547076313255824	0.29479242723408955	0.00000000000000000	0.02713403120095765	0.17812834067654582	0.02186339589554444	0.00000000000000000	0.82420320130021130	0.61157069680955678
GTEX-11DYG-0011-R8a-SM-DO93F	0.20776227397812175	0.22325401716893925	0.02761622191074588	0.08446725303106437	0.34820062602434559	0.00000000000000000	0.01939724121747777	0.07625731832908542	0.01304504834022001	0.00000000000000000	0.62857603881592050	0.77959078844428753
GTEX-11DZ1-0011-R10b-SM-DO943	0.07189085387212973	0.39632184746942739	0.02906346225423874	0.24856163495210104	0.02325265214642386	0.00777648586879155	0.02266022677159711	0.18378449539557248	0.01668834126971794	0.00000000000000000	0.67797445538869427	0.81692680398257445
GTEX-11DZ1-0011-R3a-SM-DNZYY	0.05176890799812873	0.49450382389089881	0.02179318308503455	0.32273218455315317	0.02750314748184269	0.00596773160184883	0.01523954776507904	0.05166950355741691	0.00882197006659731	0.00000000000000000	0.73412966144549041	0.84748665626500863
GTEX-11DZ1-0011-R5a-SM-DO11J	0.07530581444716508	0.15474912878102920	0.07126938531848752	0.13865735092618109	0.31211083342274432	0.03186537520298325	0.03583009075430234	0.14172366189018051	0.03848835925692685	0.00000000000000000	0.61810272494239971	0.78708659875297715
GTEX-11DZ1-0011-R6b-SM-DNZZG	0.04122749760082529	0.19502554640243422	0.07968165332379316	0.32073570080096947	0.03031642450445156	0.06648772562961047	0.02015108719198685	0.23195896520599948	0.01441539933992948	0.00000000000000000	0.60796139097731905	0.83730454025585199
GTEX-11DZ1-0011-R7a-SM-DNZZH	0.09215578981679408	0.16138461150510819	0.04817258575464153	0.22498441158648724	0.21441458404919586	0.01006878000627952	0.03114429442033077	0.19424117579315622	0.02343376706800654	0.00000000000000000	0.63383519875167438	0.78762548200806504
GTEX-11DZ1-0011-R8b-SM-DNZZI	0.05936085613353582	0.20538084272005000	0.08245573594285253	0.29720370945909363	0.05076189173951094	0.08306925992522562	0.02129869789761089	0.18584632478903351	0.01462268139308713	0.00000000000000000	0.52575651998986250	0.87545673080728814
GTEX-11EI6-0011-R10a-SM-DO93R	0.09582280826464319	0.35423683599618327	0.02102609800668740	0.14445894175156410	0.09903415082603310	0.00000000000000000	0.02327651136741922	0.24631700843070162	0.01582764535676794	0.00000000000000000	0.82711591970455756	0.68985025963773783
GTEX-11EI6-0011-R1a-SM-DO93L	0.21607975028032583	0.08936559956729306	0.03406895234607891	0.23660919961157378	0.16759139250975125	0.00000000000000000	0.06014154020519384	0.17055057986874694	0.02559298561103633	0.00000000000000000	0.71991955850306033	0.72651732726392959
GTEX-11EI6-0011-R8a-SM-DO93M	0.28121124440962481	0.10795956568780848	0.08607773501856349	0.10870951903447190	0.25597736293579271	0.00000000000000000	0.02246365119642683	0.11550697871133189	0.02209394300597989	0.00000000000000000	0.41972663368147539	0.93157107844800946
